时间 - Uba,Voltage [V] - Uba
27:43.6,-0.0515977
27:43.6,-0.0493483
27:43.6,-0.051919
27:43.6,-0.0503124
27:43.6,-0.0528831
27:43.6,-0.0506337
27:43.6,-0.0522404
27:43.6,-0.0512764
27:43.6,-0.0525617
27:43.6,-0.0515977
27:43.6,-0.0528831
27:43.6,-0.0528831
27:43.6,-0.0538471
27:43.6,-0.0548111
27:43.6,-0.0557751
27:43.6,-0.0560964
27:43.6,-0.0560964
27:43.6,-0.0564178
27:43.6,-0.0560964
27:43.6,-0.0570604
27:43.6,-0.0567391
27:43.6,-0.0573818
27:43.6,-0.0541684
27:43.6,-0.0557751
27:43.6,-0.0532044
27:43.6,-0.0560964
27:43.6,-0.0535257
27:43.6,-0.0573818
27:43.6,-0.0548111
27:43.6,-0.0583458
27:43.6,-0.0548111
27:43.6,-0.0586671
27:43.6,-0.0554538
27:43.6,-0.0618805
27:43.6,-0.0564178
27:43.6,-0.0622019
27:43.6,-0.0560964
27:43.6,-0.0622019
27:43.6,-0.0554538
27:43.6,-0.0631659
27:43.6,-0.0548111
27:43.6,-0.0625232
27:43.6,-0.0560964
27:43.6,-0.0650939
27:43.6,-0.0560964
27:43.6,-0.0647726
27:43.6,-0.0564178
27:43.6,-0.0654152
27:43.6,-0.0570604
27:43.6,-0.0657366
27:43.6,-0.0573818
27:43.6,-0.0660579
27:43.6,-0.0583458
27:43.6,-0.0667006
27:43.6,-0.0577031
27:43.6,-0.0654152
27:43.6,-0.0573818
27:43.6,-0.0660579
27:43.6,-0.0573818
27:43.6,-0.0650939
27:43.6,-0.0567391
27:43.6,-0.0654152
27:43.6,-0.0554538
27:43.6,-0.0631659
27:43.6,-0.0535257
27:43.6,-0.0615592
27:43.6,-0.0528831
27:43.6,-0.0609165
27:43.6,-0.0544897
27:43.6,-0.0631659
27:43.6,-0.0551324
27:43.6,-0.0631659
27:43.6,-0.0541684
27:43.6,-0.0628445
27:43.6,-0.0541684
27:43.6,-0.0628445
27:43.6,-0.0541684
27:43.6,-0.0625232
27:43.6,-0.0532044
27:43.6,-0.0599525
27:43.6,-0.0515977
27:43.6,-0.0602738
27:43.6,-0.0506337
27:43.6,-0.0580245
27:43.6,-0.0496697
27:43.6,-0.0580245
27:43.6,-0.0503124
27:43.6,-0.0589885
27:43.6,-0.0496697
27:43.6,-0.0589885
27:43.6,-0.0503124
27:43.6,-0.0583458
27:43.6,-0.0503124
27:43.6,-0.0583458
27:43.6,-0.0496697
27:43.6,-0.0580245
27:43.6,-0.0483843
27:43.6,-0.0557751
27:43.6,-0.0464563
27:43.6,-0.0535257
27:43.6,-0.0445283
27:43.6,-0.0535257
27:43.6,-0.0445283
27:43.6,-0.0535257
27:43.6,-0.0448496
27:43.6,-0.0535257
27:43.6,-0.0448496
27:43.6,-0.0532044
27:43.6,-0.0448496
27:43.6,-0.0532044
27:43.6,-0.0448496
27:43.6,-0.0528831
27:43.6,-0.0448496
27:43.6,-0.0535257
27:43.6,-0.0448496
27:43.6,-0.0532044
27:43.6,-0.0458136
27:43.6,-0.0544897
27:43.6,-0.0464563
27:43.6,-0.0554538
27:43.6,-0.0474203
27:43.6,-0.0560964
27:43.6,-0.0483843
27:43.6,-0.0573818
27:43.6,-0.0493483
27:43.6,-0.0570604
27:43.6,-0.0487057
27:43.6,-0.0567391
27:43.6,-0.0496697
27:43.6,-0.0583458
27:43.6,-0.0496697
27:43.6,-0.0589885
27:43.6,-0.0515977
27:43.6,-0.0602738
27:43.6,-0.050955
27:43.6,-0.0593098
27:43.6,-0.0512764
27:43.6,-0.0612378
27:43.6,-0.0528831
27:43.6,-0.0612378
27:43.6,-0.0528831
27:43.6,-0.0605952
27:43.6,-0.0532044
27:43.6,-0.0615592
27:43.6,-0.0532044
27:43.6,-0.0622019
27:43.6,-0.0548111
27:43.6,-0.0641299
27:43.6,-0.0554538
27:43.6,-0.0634872
27:43.6,-0.0560964
27:43.6,-0.0657366
27:43.6,-0.0567391
27:43.6,-0.0647726
27:43.6,-0.0567391
27:43.6,-0.0650939
27:43.6,-0.0567391
27:43.6,-0.0657366
27:43.6,-0.0577031
27:43.6,-0.0657366
27:43.6,-0.0580245
27:43.6,-0.0670219
27:43.6,-0.0593098
27:43.6,-0.0679859
27:43.6,-0.0596312
27:43.6,-0.0679859
27:43.6,-0.0596312
27:43.6,-0.0679859
27:43.6,-0.0583458
27:43.6,-0.0657366
27:43.6,-0.0577031
27:43.6,-0.0650939
27:43.6,-0.0573818
27:43.6,-0.0667006
27:43.6,-0.0580245
27:43.6,-0.0660579
27:43.6,-0.0573818
27:43.6,-0.0663792
27:43.6,-0.0586671
27:43.6,-0.0663792
27:43.6,-0.0580245
27:43.6,-0.0667006
27:43.6,-0.0580245
27:43.6,-0.0663792
27:43.6,-0.0573818
27:43.6,-0.0650939
27:43.6,-0.0564178
27:43.6,-0.0638085
27:43.6,-0.0538471
27:43.6,-0.0612378
27:43.6,-0.0535257
27:43.6,-0.0615592
27:43.6,-0.0535257
27:43.6,-0.0618805
27:43.6,-0.0532044
27:43.6,-0.0615592
27:43.6,-0.0532044
27:43.6,-0.0622019
27:43.6,-0.0532044
27:43.6,-0.0615592
27:43.6,-0.0525617
27:43.6,-0.0609165
27:43.6,-0.0515977
27:43.6,-0.0599525
27:43.6,-0.051919
27:43.6,-0.0602738
27:43.6,-0.0515977
27:43.6,-0.0605952
27:43.6,-0.050955
27:43.6,-0.0602738
27:43.6,-0.0512764
27:43.6,-0.0593098
27:43.6,-0.0515977
27:43.6,-0.0615592
27:43.6,-0.0515977
27:43.6,-0.0589885
27:43.6,-0.050955
27:43.6,-0.0583458
27:43.6,-0.0506337
27:43.6,-0.0586671
27:43.6,-0.0503124
27:43.6,-0.0589885
27:43.6,-0.0503124
27:43.6,-0.0583458
27:43.6,-0.0496697
27:43.6,-0.0583458
27:43.6,-0.0487057
27:43.6,-0.0567391
27:43.6,-0.0474203
27:43.6,-0.0541684
27:43.6,-0.0464563
27:43.6,-0.0554538
27:43.6,-0.0467776
27:43.6,-0.0557751
27:43.6,-0.047099
27:43.6,-0.0551324
27:43.6,-0.0464563
27:43.6,-0.0551324
27:43.6,-0.047099
27:43.6,-0.0557751
27:43.6,-0.047099
27:43.6,-0.0554538
27:43.6,-0.046135
27:43.6,-0.0528831
27:43.6,-0.0448496
27:43.6,-0.0532044
27:43.6,-0.045171
27:43.6,-0.0528831
27:43.6,-0.0448496
27:43.6,-0.0528831
27:43.6,-0.0464563
27:43.6,-0.0548111
27:43.6,-0.0483843
27:43.6,-0.0583458
27:43.6,-0.0503124
27:43.6,-0.0586671
27:43.6,-0.049991
27:43.6,-0.0586671
27:43.6,-0.049991
27:43.6,-0.0573818
27:43.6,-0.0496697
27:43.6,-0.0586671
27:43.6,-0.049991
27:43.6,-0.0583458
27:43.6,-0.0506337
27:43.6,-0.0596312
27:43.6,-0.0512764
27:43.6,-0.0596312
27:43.6,-0.0522404
27:43.6,-0.0618805
27:43.6,-0.0535257
27:43.6,-0.0615592
27:43.6,-0.0535257
27:43.6,-0.0618805
27:43.6,-0.0535257
27:43.6,-0.0612378
27:43.6,-0.0541684
27:43.6,-0.0634872
27:43.6,-0.0548111
27:43.6,-0.0628445
27:43.6,-0.0541684
27:43.6,-0.0612378
27:43.6,-0.0532044
27:43.6,-0.0609165
27:43.6,-0.0538471
27:43.6,-0.0615592
27:43.6,-0.0525617
27:43.6,-0.0599525
27:43.6,-0.0515977
27:43.6,-0.0589885
27:43.6,-0.0512764
27:43.6,-0.0593098
27:43.6,-0.051919
27:43.6,-0.0599525
27:43.6,-0.0522404
27:43.6,-0.0602738
27:43.6,-0.0525617
27:43.6,-0.0605952
27:43.6,-0.050955
27:43.6,-0.0586671
27:43.6,-0.0496697
27:43.6,-0.0580245
27:43.6,-0.0503124
27:43.6,-0.0586671
27:43.6,-0.0493483
27:43.6,-0.0564178
27:43.6,-0.048063
27:43.6,-0.0554538
27:43.6,-0.0474203
27:43.6,-0.0560964
27:43.6,-0.0493483
27:43.6,-0.0593098
27:43.6,-0.0512764
27:43.6,-0.0589885
27:43.6,-0.049991
27:43.6,-0.0580245
27:43.6,-0.0493483
27:43.6,-0.0580245
27:43.6,-0.048063
27:43.6,-0.0551324
27:43.6,-0.0464563
27:43.6,-0.0538471
27:43.6,-0.0442069
27:43.6,-0.0512764
27:43.6,-0.0438856
27:43.6,-0.051919
27:43.6,-0.0438856
27:43.6,-0.0528831
27:43.6,-0.0448496
27:43.6,-0.0525617
27:43.6,-0.045171
27:43.6,-0.0532044
27:43.6,-0.0454923
27:43.6,-0.0538471
27:43.6,-0.0445283
27:43.6,-0.0525617
27:43.6,-0.0438856
27:43.6,-0.0515977
27:43.6,-0.0432429
27:43.6,-0.050955
27:43.6,-0.0435643
27:43.6,-0.051919
27:43.6,-0.0438856
27:43.6,-0.0515977
27:43.6,-0.0435643
27:43.6,-0.0522404
27:43.6,-0.0432429
27:43.6,-0.0512764
27:43.6,-0.0429216
27:43.6,-0.0512764
27:43.6,-0.0429216
27:43.6,-0.050955
27:43.6,-0.0435643
27:43.6,-0.0522404
27:43.6,-0.0435643
27:43.6,-0.050955
27:43.6,-0.0422789
27:43.6,-0.050955
27:43.6,-0.0429216
27:43.6,-0.0512764
27:43.6,-0.0435643
27:43.6,-0.0512764
27:43.6,-0.0442069
27:43.6,-0.0528831
27:43.6,-0.0435643
27:43.6,-0.050955
27:43.6,-0.0429216
27:43.6,-0.0506337
27:43.6,-0.0435643
27:43.6,-0.0525617
27:43.6,-0.0432429
27:43.6,-0.049991
27:43.6,-0.0426002
27:43.6,-0.0503124
27:43.6,-0.0426002
27:43.6,-0.0506337
27:43.6,-0.0429216
27:43.6,-0.0506337
27:43.6,-0.0409936
27:43.6,-0.047099
27:43.6,-0.0403509
27:43.6,-0.048063
27:43.6,-0.0397082
27:43.6,-0.0474203
27:43.6,-0.0403509
27:43.6,-0.0496697
27:43.6,-0.0429216
27:43.6,-0.051919
27:43.6,-0.0445283
27:43.6,-0.0535257
27:43.6,-0.0438856
27:43.6,-0.050955
27:43.6,-0.0438856
27:43.6,-0.0512764
27:43.6,-0.045171
27:43.6,-0.0544897
27:43.6,-0.046135
27:43.6,-0.0535257
27:43.6,-0.046135
27:43.6,-0.0541684
27:43.6,-0.046135
27:43.6,-0.0548111
27:43.6,-0.0467776
27:43.6,-0.0544897
27:43.6,-0.047099
27:43.6,-0.0548111
27:43.6,-0.047099
27:43.6,-0.0544897
27:43.6,-0.0483843
27:43.6,-0.0570604
27:43.6,-0.049027
27:43.6,-0.0557751
27:43.6,-0.0483843
27:43.6,-0.0564178
27:43.6,-0.0483843
27:43.6,-0.0567391
27:43.6,-0.049027
27:43.6,-0.0567391
27:43.6,-0.048063
27:43.6,-0.0560964
27:43.6,-0.0487057
27:43.6,-0.0564178
27:43.6,-0.0474203
27:43.6,-0.0544897
27:43.6,-0.0458136
27:43.6,-0.0535257
27:43.6,-0.0467776
27:43.6,-0.0535257
27:43.6,-0.0467776
27:43.6,-0.0548111
27:43.6,-0.0467776
27:43.6,-0.0541684
27:43.6,-0.045171
27:43.6,-0.0522404
27:43.6,-0.0445283
27:43.6,-0.0522404
27:43.6,-0.0432429
27:43.6,-0.0503124
27:43.6,-0.0416362
27:43.6,-0.0496697
27:43.6,-0.0409936
27:43.6,-0.0483843
27:43.6,-0.0413149
27:43.6,-0.0487057
27:43.6,-0.0403509
27:43.6,-0.048063
27:43.6,-0.0406722
27:43.6,-0.0487057
27:43.6,-0.0403509
27:43.6,-0.048063
27:43.6,-0.0400295
27:43.6,-0.047099
27:43.6,-0.0390655
27:43.6,-0.0467776
27:43.6,-0.0381015
27:43.6,-0.0458136
27:43.6,-0.0371375
27:43.6,-0.0448496
27:43.6,-0.0368162
27:43.6,-0.0445283
27:43.6,-0.0371375
27:43.6,-0.0448496
27:43.6,-0.0371375
27:43.6,-0.0448496
27:43.6,-0.0374588
27:43.6,-0.0445283
27:43.6,-0.0377802
27:43.6,-0.046135
27:43.6,-0.0384229
27:43.6,-0.0458136
27:43.6,-0.0384229
27:43.6,-0.0458136
27:43.6,-0.0384229
27:43.6,-0.0458136
27:43.6,-0.0377802
27:43.6,-0.0454923
27:43.6,-0.0387442
27:43.6,-0.048063
27:43.6,-0.0397082
27:43.6,-0.0477417
27:43.6,-0.0403509
27:43.6,-0.048063
27:43.6,-0.0403509
27:43.6,-0.0474203
27:43.6,-0.0403509
27:43.6,-0.0477417
27:43.6,-0.0397082
27:43.6,-0.0477417
27:43.6,-0.0400295
27:43.6,-0.048063
27:43.6,-0.0409936
27:43.6,-0.0487057
27:43.6,-0.0413149
27:43.6,-0.0483843
27:43.6,-0.0416362
27:43.6,-0.049027
27:43.6,-0.0422789
27:43.6,-0.0493483
27:43.6,-0.0422789
27:43.6,-0.0503124
27:43.6,-0.0438856
27:43.6,-0.0515977
27:43.6,-0.0435643
27:43.6,-0.0515977
27:43.6,-0.045171
27:43.6,-0.0538471
27:43.6,-0.046135
27:43.6,-0.0541684
27:43.6,-0.0458136
27:43.6,-0.051919
27:43.6,-0.0445283
27:43.6,-0.0528831
27:43.6,-0.0445283
27:43.6,-0.0525617
27:43.6,-0.0464563
27:43.6,-0.0541684
27:43.6,-0.0467776
27:43.6,-0.0541684
27:43.6,-0.0477417
27:43.6,-0.0554538
27:43.6,-0.0464563
27:43.6,-0.0528831
27:43.6,-0.0454923
27:43.6,-0.0538471
27:43.6,-0.0464563
27:43.6,-0.0535257
27:43.6,-0.046135
27:43.6,-0.0535257
27:43.6,-0.046135
27:43.6,-0.0535257
27:43.6,-0.0454923
27:43.6,-0.0532044
27:43.6,-0.0458136
27:43.6,-0.0538471
27:43.6,-0.0458136
27:43.6,-0.0532044
27:43.6,-0.0458136
27:43.6,-0.0532044
27:43.6,-0.0464563
27:43.6,-0.0532044
27:43.6,-0.0448496
27:43.6,-0.0512764
27:43.6,-0.0445283
27:43.6,-0.0515977
27:43.6,-0.0442069
27:43.6,-0.0515977
27:43.6,-0.045171
27:43.6,-0.0522404
27:43.6,-0.0445283
27:43.6,-0.051919
27:43.6,-0.045171
27:43.6,-0.051919
27:43.6,-0.0442069
27:43.6,-0.0525617
27:43.6,-0.0435643
27:43.6,-0.0493483
27:43.6,-0.0426002
27:43.6,-0.0496697
27:43.6,-0.0426002
27:43.6,-0.0496697
27:43.6,-0.0422789
27:43.6,-0.049991
27:43.6,-0.0429216
27:43.6,-0.0503124
27:43.6,-0.0432429
27:43.6,-0.049991
27:43.6,-0.0429216
27:43.6,-0.0503124
27:43.6,-0.0429216
27:43.6,-0.0496697
27:43.6,-0.0426002
27:43.6,-0.0496697
27:43.6,-0.0416362
27:43.6,-0.0493483
27:43.6,-0.0429216
27:43.6,-0.049991
27:43.6,-0.0422789
27:43.6,-0.049027
27:43.6,-0.0426002
27:43.6,-0.049991
27:43.6,-0.0426002
27:43.6,-0.049991
27:43.6,-0.0429216
27:43.6,-0.0493483
27:43.6,-0.0422789
27:43.6,-0.0496697
27:43.6,-0.0429216
27:43.6,-0.049991
27:43.6,-0.0419576
27:43.6,-0.049027
27:43.6,-0.0422789
27:43.6,-0.0493483
27:43.6,-0.0426002
27:43.6,-0.0496697
27:43.6,-0.0429216
27:43.6,-0.0506337
27:43.6,-0.0426002
27:43.6,-0.0483843
27:43.6,-0.0422789
27:43.6,-0.0496697
27:43.6,-0.0429216
27:43.6,-0.0512764
27:43.6,-0.0435643
27:43.6,-0.0503124
27:43.6,-0.0445283
27:43.6,-0.0525617
27:43.6,-0.0454923
27:43.6,-0.0532044
27:43.6,-0.0467776
27:43.6,-0.0535257
27:43.6,-0.046135
27:43.6,-0.0522404
27:43.6,-0.0454923
27:43.6,-0.0532044
27:43.6,-0.0458136
27:43.6,-0.0528831
27:43.6,-0.045171
27:43.6,-0.0522404
27:43.6,-0.0464563
27:43.6,-0.0532044
27:43.6,-0.046135
27:43.6,-0.0528831
27:43.6,-0.048063
27:43.6,-0.0570604
27:43.6,-0.0503124
27:43.6,-0.0573818
27:43.6,-0.0515977
27:43.6,-0.0583458
27:43.6,-0.0515977
27:43.6,-0.0586671
27:43.6,-0.0525617
27:43.6,-0.0596312
27:43.6,-0.0541684
27:43.6,-0.0628445
27:43.6,-0.0554538
27:43.6,-0.0618805
27:43.6,-0.0551324
27:43.6,-0.0618805
27:43.6,-0.0567391
27:43.6,-0.0634872
27:43.6,-0.0564178
27:43.6,-0.0638085
27:43.6,-0.0573818
27:43.6,-0.0638085
27:43.6,-0.0567391
27:43.6,-0.0641299
27:43.6,-0.0580245
27:43.6,-0.0657366
27:43.6,-0.0599525
27:43.6,-0.0673433
27:43.6,-0.0609165
27:43.6,-0.0683073
27:43.6,-0.0631659
27:43.6,-0.0702353
27:43.6,-0.0638085
27:43.6,-0.070878
27:43.6,-0.0628445
27:43.6,-0.0695926
27:43.6,-0.0618805
27:43.6,-0.0676646
27:43.6,-0.0599525
27:43.6,-0.0663792
27:43.6,-0.0599525
27:43.6,-0.0657366
27:43.6,-0.0596312
27:43.6,-0.0660579
27:43.6,-0.0602738
27:43.6,-0.0667006
27:43.6,-0.0596312
27:43.6,-0.0660579
27:43.6,-0.0602738
27:43.6,-0.0660579
27:43.6,-0.0589885
27:43.6,-0.0644512
27:43.6,-0.0560964
27:43.6,-0.0612378
27:43.6,-0.0541684
27:43.6,-0.0602738
27:43.6,-0.0532044
27:43.6,-0.0593098
27:43.6,-0.0538471
27:43.6,-0.0609165
27:43.6,-0.0548111
27:43.6,-0.0612378
27:43.6,-0.0544897
27:43.6,-0.0599525
27:43.6,-0.0528831
27:43.6,-0.0586671
27:43.6,-0.0525617
27:43.6,-0.0593098
27:43.6,-0.0528831
27:43.6,-0.0589885
27:43.6,-0.0525617
27:43.6,-0.0583458
27:43.6,-0.0522404
27:43.6,-0.0580245
27:43.6,-0.0525617
27:43.6,-0.0583458
27:43.6,-0.0512764
