时间 - Ic,Voltage [V] - Ic
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61582
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61679
27:43.6,1.61582
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61582
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61582
27:43.6,1.6155
27:43.6,1.61647
27:43.6,1.61582
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.6155
27:43.6,1.61647
27:43.6,1.61582
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61582
27:43.6,1.6155
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61647
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61711
27:43.6,1.61582
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61711
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61647
27:43.6,1.61582
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61711
27:43.6,1.61679
27:43.6,1.61679
27:43.6,1.61582
27:43.6,1.61647
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61647
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61647
27:43.6,1.61647
27:43.6,1.61679
27:43.6,1.61615
27:43.6,1.61679
27:43.6,1.61711
27:43.6,1.61647
27:43.6,1.61582
